ROLLS-ROYCE APPLIED SCIENCE LABORATORY
FLAT PLATE TRANSITIONAL BOUNDARY LAYER FLOW
HOT WIRE ANEMOMETRY TEST DATA

SUMMARY DATA FOR
ERCOFTAC T3A- TEST CASE

KEY : RUN       SINGLE WIRE TEST DATA RUN NUMBER
      X         AXIAL POSITION (MM)
      REX       REYNOLDS NUMBER BASED ON X AND UO
      UO        FREESTREAM VELOCITY (M/S)
      CF        SKIN FRICTION COEFFICIENT
      H         SHAPE FACTOR
      RETHETA   REYNOLDS NUMBER BASED ON MOMENTUM THICKNESS
      DELTA     99% BOUNDARY LAYER THICKNESS (MM)
      TUFS      FREESTREAM TURBULENCE INTENSITY (%)

   RUN         X          REX          UO        CF          H      RETHETA    DELTA      TUFS
 1W00908      95.0     1.225E+05     19.53    0.001880     2.650     219.4      1.30     0.874
 1W00909     195.0     2.541E+05     19.74    0.001250     2.660     326.9      1.89     0.793
 1W00910     295.0     3.855E+05     19.81    0.001027     2.637     401.5      2.42     0.738
 1W01001     395.0     5.078E+05     19.81    0.000901     2.612     466.6      2.86     0.685
 1W01002     495.0     6.422E+05     19.93    0.000780     2.606     539.2      3.33     0.651
 1W01003     595.0     7.720E+05     19.88    0.000733     2.595     579.4      3.59     0.610
 1W01004     695.0     9.003E+05     19.83    0.000661     2.612     630.9      3.97     0.585
 1W01005     795.0     1.038E+06     19.82    0.000624     2.593     684.8      4.35     0.564
 1W01006     895.0     1.173E+06     19.87    0.000603     2.554     734.3      4.60     0.545
 1W01007     995.0     1.306E+06     19.88    0.000565     2.539     784.8      4.88     0.525
 1W01008    1095.0     1.443E+06     19.83    0.000535     2.543     818.8      5.11     0.512
 1W01009    1195.0     1.561E+06     19.67    0.000557     2.462     861.5      5.43     0.498
 1W01010    1295.0     1.698E+06     19.73    0.000583     2.354     930.7      6.05     0.486
 1W01101    1395.0     1.828E+06     19.72    0.000735     2.219     999.7      6.61     0.478
 1W01102    1495.0     1.959E+06     19.72    0.001193     1.983    1130.6      8.12     0.483
 1W01103    1552.0     2.022E+06     19.59    0.001514     1.903    1192.0      8.79     0.469
