ROLLS-ROYCE APPLIED SCIENCE LABORATORY
FLAT PLATE TRANSITIONAL BOUNDARY LAYER FLOW
HOT WIRE ANEMOMETRY TEST DATA

SUMMARY DATA FOR
ERCOFTAC T3C1 TEST CASE

KEY : RUN       SINGLE WIRE TEST DATA RUN NUMBER
      X         AXIAL POSITION (MM)
      REX       REYNOLDS NUMBER BASED ON X AND UO
      UO        FREESTREAM VELOCITY (M/S)
      CF        SKIN FRICTION COEFFICIENT
      H         SHAPE FACTOR
      RETHETA   REYNOLDS NUMBER BASED ON MOMENTUM THICKNESS
      DELTA     99% BOUNDARY LAYER THICKNESS (MM)
      TUFS      FREESTREAM TURBULENCE INTENSITY (%)

   RUN         X          REX          UO        CF          H      RETHETA    DELTA      TUFS
 1W01708       5.0     2.100E+03      6.32    0.011904     2.711      32.7      0.58     7.741
 1W01709      15.0     6.400E+03      6.51    0.008921     2.545      50.9      0.93     6.592
 1W01710      25.0     1.090E+04      6.65    0.006833     2.520      67.7      1.25     6.160
 1W01601      45.0     2.050E+04      6.87    0.005233     2.471      90.2      1.64     5.791
 1W01602      95.0     4.520E+04      7.17    0.003884     2.346     136.7      2.47     5.067
 1W01603     145.0     7.190E+04      7.47    0.003279     2.269     173.2      3.20     4.109
 1W01604     195.0     9.890E+04      7.64    0.003274     2.117     211.2      3.75     3.775
 1W01605     295.0     1.535E+05      7.84    0.003715     1.842     289.0      5.63     3.441
 1W01606     395.0     2.139E+05      8.18    0.004407     1.624     379.1      7.29     3.115
 1W01607     495.0     2.781E+05      8.47    0.005516     1.529     481.0      9.22     2.777
 1W01608     595.0     3.469E+05      8.78    0.005276     1.490     577.9     10.77     2.478
 1W01609     695.0     4.167E+05      9.03    0.005010     1.466     684.8     12.07     2.287
 1W01610     795.0     4.862E+05      9.18    0.004769     1.463     780.4     13.29     2.143
 1W01701     895.0     5.514E+05      9.25    0.004540     1.443     907.9     14.74     2.071
 1W01702     995.0     6.130E+05      9.25    0.004233     1.444    1068.0     16.92     1.952
 1W01703    1095.0     6.581E+05      9.10    0.003947     1.451    1229.2     19.26     1.976
 1W01704    1195.0     6.982E+05      8.86    0.003656     1.465    1424.7     21.84     1.971
 1W01705    1295.0     7.349E+05      8.61    0.003324     1.480    1686.4     25.79     2.006
 1W01706    1395.0     7.618E+05      8.29    0.002981     1.510    1993.8     30.17     2.045
 1W01707    1495.0     7.722E+05      7.84    0.002571     1.561    2346.3     35.97     2.198
